AID,GID,NID,CONTRIBUTOR
13423,5,1834,"NNP GZC Car '10WHITE', Person 'A'"
13385,6,1834,"NNP GZC Car '10WHITE', Person 'A'"
13453,7,1834,"NNP GZC Car '10WHITE', Person 'A'"
13390,8,1836,"NNP GZC Car '10WHITE', Person 'A'"
9336,10,210,"NNP GZC Car '10WHITE', Person 'A'"
9329,11,210,"NNP GZC Car '10WHITE', Person 'A'"
9330,12,210,"NNP GZC Car '10WHITE', Person 'A'"
13441,36,1659,"NNP GZC Car '10WHITE', Person 'A'"
13428,61,1660,"NNP GZC Car '10WHITE', Person 'A'"
13409,64,1660,"NNP GZC Car '10WHITE', Person 'A'"
13431,72,903,"NNP GZC Car '10WHITE', Person 'A'"
13448,74,789,"NNP GZC Car '10WHITE', Person 'A'"
13450,78,1835,"NNP GZC Car '10WHITE', Person 'A'"
13454,79,1835,"NNP GZC Car '10WHITE', Person 'A'"
13388,80,1660,"NNP GZC Car '10WHITE', Person 'A'"
13443,81,1660,"NNP GZC Car '10WHITE', Person 'A'"
15533,105,1818,"NNP GZC Car '11WHITE', Person 'A'"
15441,106,1818,"NNP GZC Car '11WHITE', Person 'A'"
15560,107,1818,"NNP GZC Car '11WHITE', Person 'A'"
15505,108,1818,"NNP GZC Car '11WHITE', Person 'A'"
15552,109,1818,"NNP GZC Car '11WHITE', Person 'A'"
15548,121,1944,"NNP GZC Car '11WHITE', Person 'A'"
15538,122,1944,"NNP GZC Car '11WHITE', Person 'A'"
15466,123,1944,"NNP GZC Car '11WHITE', Person 'A'"
15440,127,1823,"NNP GZC Car '11WHITE', Person 'A'"
15541,128,1823,"NNP GZC Car '11WHITE', Person 'A'"
15434,129,1659,"NNP GZC Car '11WHITE', Person 'A'"
15447,130,1990,"NNP GZC Car '11WHITE', Person 'A'"
15487,131,1990,"NNP GZC Car '11WHITE', Person 'A'"
15534,132,1827,"NNP GZC Car '11WHITE', Person 'A'"
15462,133,1998,"NNP GZC Car '11WHITE', Person 'A'"
15519,134,1659,"NNP GZC Car '11WHITE', Person 'A'"
15513,135,1998,"NNP GZC Car '11WHITE', Person 'A'"
15562,136,1816,"NNP GZC Car '11WHITE', Person 'A'"
15517,137,1659,"NNP GZC Car '11WHITE', Person 'A'"
15521,138,1659,"NNP GZC Car '11WHITE', Person 'A'"
15516,139,1659,"NNP GZC Car '11WHITE', Person 'A'"
15515,140,1816,"NNP GZC Car '11WHITE', Person 'A'"
15493,141,1816,"NNP GZC Car '11WHITE', Person 'A'"
15467,145,1826,"NNP GZC Car '11WHITE', Person 'A'"
15468,146,1826,"NNP GZC Car '11WHITE', Person 'A'"
15503,147,1826,"NNP GZC Car '11WHITE', Person 'A'"
15472,148,1826,"NNP GZC Car '11WHITE', Person 'A'"
9182,150,112,"NNP GZC Car '11WHITE', Person 'A'"
9227,151,112,"NNP GZC Car '11WHITE', Person 'A'"
9189,152,112,"NNP GZC Car '11WHITE', Person 'A'"
9188,153,112,"NNP GZC Car '11WHITE', Person 'A'"
9202,154,112,"NNP GZC Car '11WHITE', Person 'A'"
9201,155,112,"NNP GZC Car '11WHITE', Person 'A'"
15544,156,1822,"NNP GZC Car '11WHITE', Person 'A'"
15545,156,789,"NNP GZC Car '11WHITE', Person 'A'"
15529,157,1822,"NNP GZC Car '11WHITE', Person 'A'"
15530,157,789,"NNP GZC Car '11WHITE', Person 'A'"
15543,158,796,"NNP GZC Car '11WHITE', Person 'A'"
15450,159,790,"NNP GZC Car '11WHITE', Person 'A'"
15526,160,790,"NNP GZC Car '11WHITE', Person 'A'"
15461,161,792,"NNP GZC Car '11WHITE', Person 'A'"
15438,162,792,"NNP GZC Car '11WHITE', Person 'A'"
15446,163,1660,"NNP GZC Car '11WHITE', Person 'A'"
15458,164,1660,"NNP GZC Car '11WHITE', Person 'A'"
15539,165,1660,"NNP GZC Car '11WHITE', Person 'A'"
15559,166,1660,"NNP GZC Car '11WHITE', Person 'A'"
9175,224,74,"NNP GZC Car '11WHITE', Person 'A'"
9217,225,74,"NNP GZC Car '11WHITE', Person 'A'"
9203,226,74,"NNP GZC Car '11WHITE', Person 'A'"
9223,227,9,"NNP GZC Car '11WHITE', Person 'A'"
9178,229,172,"NNP GZC Car '11WHITE', Person 'A'"
9185,230,172,"NNP GZC Car '11WHITE', Person 'A'"
9198,231,172,"NNP GZC Car '11WHITE', Person 'A'"
9200,232,172,"NNP GZC Car '11WHITE', Person 'A'"
15915,240,1764,"NNP GZC Car '11WHITE', Person 'A'"
10126,241,2181,"NNP GZC Car '11WHITE', Person 'A'"
15528,242,2181,"NNP GZC Car '11WHITE', Person 'A'"
15485,243,290,"NNP GZC Car '11WHITE', Person 'A'"
15531,244,1824,"NNP GZC Car '11WHITE', Person 'A'"
15431,245,1824,"NNP GZC Car '11WHITE', Person 'A'"
15432,245,1012,"NNP GZC Car '11WHITE', Person 'A'"
15460,246,1824,"NNP GZC Car '11WHITE', Person 'A'"
15451,247,1828,"NNP GZC Car '11WHITE', Person 'A'"
15542,248,1824,"NNP GZC Car '11WHITE', Person 'A'"
15546,249,1824,"NNP GZC Car '11WHITE', Person 'A'"
15549,250,1012,"NNP GZC Car '11WHITE', Person 'A'"
15520,251,1828,"NNP GZC Car '11WHITE', Person 'A'"
15484,252,1815,"NNP GZC Car '11WHITE', Person 'A'"
15471,253,1815,"NNP GZC Car '11WHITE', Person 'A'"
15916,254,1817,"NNP GZC Car '11WHITE', Person 'A'"
15917,254,1150,"NNP GZC Car '11WHITE', Person 'A'"
15918,254,1815,"NNP GZC Car '11WHITE', Person 'A'"
15574,255,1150,"NNP GZC Car '11WHITE', Person 'A'"
15575,255,1815,"NNP GZC Car '11WHITE', Person 'A'"
15576,255,1817,"NNP GZC Car '11WHITE', Person 'A'"
15444,256,1150,"NNP GZC Car '11WHITE', Person 'A'"
15445,256,1817,"NNP GZC Car '11WHITE', Person 'A'"
15557,257,1150,"NNP GZC Car '11WHITE', Person 'A'"
15558,257,1817,"NNP GZC Car '11WHITE', Person 'A'"
15442,258,1178,"NNP GZC Car '11WHITE', Person 'A'"
15563,259,1178,"NNP GZC Car '11WHITE', Person 'A'"
15550,260,1821,"NNP GZC Car '11WHITE', Person 'A'"
15443,261,1821,"NNP GZC Car '11WHITE', Person 'A'"
15463,262,1375,"NNP GZC Car '11WHITE', Person 'A'"
15464,262,995,"NNP GZC Car '11WHITE', Person 'A'"
15508,263,1375,"NNP GZC Car '11WHITE', Person 'A'"
15509,263,995,"NNP GZC Car '11WHITE', Person 'A'"
15555,264,1375,"NNP GZC Car '11WHITE', Person 'A'"
15469,265,1375,"NNP GZC Car '11WHITE', Person 'A'"
15470,265,995,"NNP GZC Car '11WHITE', Person 'A'"
15474,266,1375,"NNP GZC Car '11WHITE', Person 'A'"
15475,266,995,"NNP GZC Car '11WHITE', Person 'A'"
15524,267,1375,"NNP GZC Car '11WHITE', Person 'A'"
15453,268,1028,"NNP GZC Car '11WHITE', Person 'A'"
15527,269,1028,"NNP GZC Car '11WHITE', Person 'A'"
15454,270,1210,"NNP GZC Car '11WHITE', Person 'A'"
15553,271,1210,"NNP GZC Car '11WHITE', Person 'A'"
15568,272,1210,"NNP GZC Car '11WHITE', Person 'A'"
15452,273,1210,"NNP GZC Car '11WHITE', Person 'A'"
15547,274,1028,"NNP GZC Car '11WHITE', Person 'A'"
15532,275,1028,"NNP GZC Car '11WHITE', Person 'A'"
15522,276,1820,"NNP GZC Car '11WHITE', Person 'A'"
15551,277,1820,"NNP GZC Car '11WHITE', Person 'A'"
15492,278,1820,"NNP GZC Car '11WHITE', Person 'A'"
15478,279,1385,"NNP GZC Car '11WHITE', Person 'A'"
15479,279,1028,"NNP GZC Car '11WHITE', Person 'A'"
15510,280,1385,"NNP GZC Car '11WHITE', Person 'A'"
15511,280,1028,"NNP GZC Car '11WHITE', Person 'A'"
15459,281,1375,"NNP GZC Car '11WHITE', Person 'A'"
15564,282,1829,"NNP GZC Car '11WHITE', Person 'A'"
15565,282,1833,"NNP GZC Car '11WHITE', Person 'A'"
15507,283,1832,"NNP GZC Car '11WHITE', Person 'A'"
15455,284,1177,"NNP GZC Car '11WHITE', Person 'A'"
15490,285,1177,"NNP GZC Car '11WHITE', Person 'A'"
15561,286,1177,"NNP GZC Car '11WHITE', Person 'A'"
15567,287,487,"NNP GZC Car '11WHITE', Person 'A'"
15554,288,487,"NNP GZC Car '11WHITE', Person 'A'"
15486,294,1819,"NNP GZC Car '11WHITE', Person 'A'"
15506,295,1819,"NNP GZC Car '11WHITE', Person 'A'"
15518,296,1819,"NNP GZC Car '11WHITE', Person 'A'"
9192,306,74,"NNP GZC Car '11WHITE', Person 'A'"
9194,307,74,"NNP GZC Car '11WHITE', Person 'A'"
9218,312,51,"NNP GZC Car '11WHITE', Person 'A'"
9176,313,51,"NNP GZC Car '11WHITE', Person 'A'"
9184,314,49,"NNP GZC Car '11WHITE', Person 'A'"
9232,315,49,"NNP GZC Car '11WHITE', Person 'A'"
15488,316,1831,"NNP GZC Car '11WHITE', Person 'A'"
15483,317,1830,"NNP GZC Car '11WHITE', Person 'A'"
